country,date,deaths,log_deaths,shifted_deaths,shifted_log_deaths,delta_log_deaths,delta_deaths,shifted_delta_deaths,factor_delta_increase_deaths,delta_log_deaths_smoothed,factor_delta_increase_deaths_smoothed,factor_deaths_increase_smoothed,cases_lower_ci,cases_upper_ci
Germany,2020-01-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.039999999999979,577.7999999996196
Germany,2020-01-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0199999999999796,556.3299999996391
Germany,2020-01-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.089999999999978,570.1199999996265
Germany,2020-01-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0799999999999783,576.269999999621
Germany,2020-01-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.089999999999978,568.529999999628
Germany,2020-01-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.1099999999999777,576.7599999996205
Germany,2020-01-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.3699999999999934,576.8899999996204
Germany,2020-01-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0299999999999794,585.1299999996129
Germany,2020-01-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.00999999999998,548.1599999996465
Germany,2020-01-31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0699999999999785,549.799999999645
Germany,2020-02-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.00999999999998,582.0799999996157
Germany,2020-02-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.039999999999979,574.3299999996227
Germany,2020-02-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.099999999999999,568.7599999996278
Germany,2020-02-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0199999999999796,553.4099999996417
Germany,2020-02-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.1599999999999766,578.9099999996185
Germany,2020-02-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.089999999999978,579.9399999996176
Germany,2020-02-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.00999999999998,581.2899999996164
Germany,2020-02-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.039999999999979,570.2599999996264
Germany,2020-02-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.049999999999979,566.1399999996302
Germany,2020-02-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.049999999999979,568.2999999996282
Germany,2020-02-11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0599999999999787,553.069999999642
Germany,2020-02-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.289999999999974,554.5399999996407
Germany,2020-02-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0299999999999794,573.8399999996232
Germany,2020-02-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.229999999999975,567.0299999996294
Germany,2020-02-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.1299999999999772,551.7799999996432
Germany,2020-02-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0299999999999794,576.9399999996203
Germany,2020-02-17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.7799999999999847,578.5699999996189
Germany,2020-02-18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.9399999999999813,557.9999999996376
Germany,2020-02-19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.229999999999975,550.2299999996446
Germany,2020-02-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.1199999999999775,576.9099999996204
Germany,2020-02-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0599999999999787,569.3499999996272
Germany,2020-02-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.7799999999999847,581.2299999996164
Germany,2020-02-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.049999999999979,577.4799999996198
Germany,2020-02-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.189999999999976,551.8299999996432
Germany,2020-02-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.099999999999978,580.0999999996175
Germany,2020-02-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0199999999999796,565.5399999996307
Germany,2020-02-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5799999999999677,554.7099999996406
Germany,2020-02-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.089999999999978,564.119999999632
Germany,2020-02-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5499999999999896,580.559999999617
Germany,2020-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.049999999999979,559.739999999636
Germany,2020-03-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.049999999999979,577.0999999996202
Germany,2020-03-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.049999999999979,570.3199999996264
Germany,2020-03-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.1199999999999775,558.2899999996373
Germany,2020-03-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0199999999999796,577.5499999996198
Germany,2020-03-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.629999999999988,565.4399999996308
Germany,2020-03-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.1299999999999772,559.5799999996361
Germany,2020-03-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.1299999999999772,569.4699999996271
Germany,2020-03-09,2,0.6931471805599453,0.0,0.0,0.6931471805599453,2.0,0.0,0.0,0.6931471805599453,0.0,2.0,160.0,1410.0
Germany,2020-03-10,2,0.6931471805599453,2.0,0.6931471805599453,0.0,0.0,2.0,0.0,0.0,0.0,1.0,160.0,1410.0
Germany,2020-03-11,3,1.0986122886681098,2.0,0.6931471805599453,0.4054651081081645,1.0,0.0,0.0,0.4054651081081645,0.0,1.5000000000000002,240.0,1720.0
Germany,2020-03-12,3,1.0986122886681098,3.0,1.0986122886681098,0.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,1730.0
Germany,2020-03-13,7,1.9459101490553132,3.0,1.0986122886681098,0.8472978603872034,4.0,0.0,0.0,0.8472978603872034,0.0,2.333333333333333,560.0,3030.0
Germany,2020-03-14,9,2.1972245773362196,7.0,1.9459101490553132,0.25131442828090633,2.0,4.0,0.5,0.25131442828090633,0.5,1.285714285714286,720.0,3660.0
Germany,2020-03-15,11,2.3978952727983707,9.0,2.1972245773362196,0.2006706954621511,2.0,2.0,1.0,0.2006706954621511,1.0,1.222222222222222,900.0,4400.0
Germany,2020-03-16,17,2.833213344056216,11.0,2.3978952727983707,0.4353180712578455,6.0,2.0,3.0,0.4353180712578455,3.0,1.5454545454545454,1400.0,6400.0
Germany,2020-03-17,24,3.1780538303479458,17.0,2.833213344056216,0.3448404862917296,7.0,6.0,1.1666666666666667,0.3448404862917296,1.166666666666667,1.411764705882353,2000.0,8700.0
Germany,2020-03-18,28,3.332204510175204,24.0,3.1780538303479458,0.15415067982725805,4.0,7.0,0.5714285714285714,0.15415067982725805,0.5714285714285716,1.1666666666666663,2400.0,9600.0
Germany,2020-03-19,44,3.784189633918261,28.0,3.332204510175204,0.4519851237430572,16.0,4.0,4.0,0.4519851237430572,4.0,1.5714285714285714,3900.0,15200.0
Germany,2020-03-20,67,4.204692619390966,44.0,3.784189633918261,0.4205029854727047,23.0,16.0,1.4375,0.4205029854727047,1.4375,1.5227272727272725,6400.0,21800.0
Germany,2020-03-21,84,4.430816798843313,67.0,4.204692619390966,0.22612417945234764,17.0,23.0,0.7391304347826086,0.22612417945234764,0.7391304347826084,1.2537313432835822,7800.0,27400.0
Germany,2020-03-22,94,4.543294782270004,84.0,4.430816798843313,0.11247798342669046,10.0,17.0,0.5882352941176471,0.11247798342669046,0.588235294117647,1.1190476190476193,8900.0,30100.0
Germany,2020-03-23,123,4.812184355372417,94.0,4.543294782270004,0.26888957310241324,29.0,10.0,2.9,0.26888957310241324,2.9,1.308510638297872,12000.0,39000.0
Germany,2020-03-24,157,5.056245805348308,123.0,4.812184355372417,0.24406144997589063,34.0,29.0,1.1724137931034482,0.24406144997589063,1.172413793103448,1.2764227642276424,16000.0,50000.0
Germany,2020-03-25,206,5.327876168789581,157.0,5.056245805348308,0.27163036344127356,49.0,34.0,1.4411764705882353,0.27163036344127356,1.4411764705882348,1.312101910828026,21000.0,67000.0
Germany,2020-03-26,267,5.58724865840025,206.0,5.327876168789581,0.2593724896106684,61.0,49.0,1.2448979591836735,0.2593724896106684,1.244897959183673,1.2961165048543688,27000.0,85000.0
Germany,2020-03-27,342,5.834810737062605,267.0,5.58724865840025,0.24756207866235513,75.0,61.0,1.2295081967213115,0.24756207866235513,1.229508196721311,1.2808988764044937,35000.0,107000.0
Germany,2020-03-28,433,6.07073772800249,342.0,5.834810737062605,0.2359269909398849,91.0,75.0,1.2133333333333334,0.2359269909398849,1.2133333333333327,1.2660818713450295,44000.0,138000.0
Germany,2020-03-29,533,6.278521424165844,433.0,6.07073772800249,0.20778369616335457,100.0,91.0,1.098901098901099,0.20778369616335457,1.098901098901098,1.23094688221709,54000.0,170000.0
Germany,2020-03-30,645,6.4692503167957724,533.0,6.278521424165844,0.1907288926299282,112.0,100.0,1.12,0.1907288926299282,1.1199999999999992,1.210131332082552,65000.0,200000.0
Germany,2020-03-31,775,6.652863029353347,645.0,6.4692503167957724,0.18361271255757483,130.0,112.0,1.1607142857142858,0.18361271255757483,1.1607142857142847,1.2015503875968996,77000.0,243000.0
Germany,2020-04-01,920,6.824373670043086,775.0,6.652863029353347,0.1715106406897391,145.0,130.0,1.1153846153846154,0.1715106406897391,1.1153846153846143,1.1870967741935485,93000.0,293000.0
Germany,2020-04-02,1107,7.009408932708637,920.0,6.824373670043086,0.1850352626655507,187.0,145.0,1.289655172413793,0.1850352626655507,1.289655172413792,1.2032608695652172,120000.0,360000.0
Germany,2020-04-03,1275,7.150701457592526,1107.0,7.009408932708637,0.14129252488388921,168.0,187.0,0.8983957219251337,0.14129252488388921,0.8983957219251326,1.1517615176151756,130000.0,410000.0
Germany,2020-04-04,1444,7.275172319452771,1275.0,7.150701457592526,0.12447086186024503,169.0,168.0,1.005952380952381,0.12447086186024503,1.0059523809523798,1.1325490196078432,150000.0,460000.0
Germany,2020-04-05,1584,7.367708572374371,1444.0,7.275172319452771,0.09253625292160006,140.0,169.0,0.8284023668639053,0.09253625292160006,0.8284023668639042,1.096952908587258,170000.0,510000.0
Germany,2020-04-06,1810,7.501082124259871,1584.0,7.367708572374371,0.1333735518854997,226.0,140.0,1.6142857142857143,0.1333735518854997,1.6142857142857132,1.142676767676767,190000.0,580000.0
Germany,2020-04-07,2016,7.60887062919126,1810.0,7.501082124259871,0.10778850493138847,206.0,226.0,0.911504424778761,0.10778850493138847,0.91150442477876,1.1138121546961333,210000.0,630000.0
Germany,2020-04-08,2349,7.761744984658913,2016.0,7.60887062919126,0.15287435546765327,333.0,206.0,1.616504854368932,0.15287435546765327,1.616504854368931,1.1651785714285712,240000.0,750000.0
Germany,2020-04-09,2607,7.865955413933502,2349.0,7.761744984658913,0.10421042927458934,258.0,333.0,0.7747747747747747,0.10421042927458934,0.774774774774774,1.109833971902938,270000.0,820000.0
Germany,2020-04-10,2767,7.925518979786926,2607.0,7.865955413933502,0.059563565853423484,160.0,258.0,0.6201550387596899,0.059563565853423484,0.6201550387596891,1.0613732259301871,290000.0,870000.0
Germany,2020-04-11,2736,7.914252278742441,2767.0,7.925518979786926,-0.011266701044484684,-31.0,160.0,-0.19375,-0.011266701044484684,-0.19375000000000075,0.9887965305384895,280000.0,870000.0
Germany,2020-04-12,3022,8.013674142832684,2736.0,7.914252278742441,0.09942186409024334,286.0,-31.0,-9.225806451612904,0.09942186409024334,-9.225806451612906,1.1045321637426895,310000.0,940000.0
Germany,2020-04-13,3194,8.069029328774958,3022.0,8.013674142832684,0.05535518594227362,172.0,286.0,0.6013986013986014,0.05535518594227362,0.6013986013985999,1.0569159497021847,330000.0,1010000.0
Germany,2020-04-14,3294,8.099857910737585,3194.0,8.069029328774958,0.030828581962627055,100.0,172.0,0.5813953488372093,0.030828581962627055,0.581395348837208,1.031308703819661,340000.0,1030000.0
Germany,2020-04-15,3804,8.24380842366528,3294.0,8.099857910737585,0.14395051292769523,510.0,100.0,5.1,0.14395051292769523,5.099999999999998,1.1548269581056465,390000.0,1200000.0
Germany,2020-04-16,4052,8.306965865368573,3804.0,8.24380842366528,0.06315744170329296,248.0,510.0,0.48627450980392156,0.06315744170329296,0.48627450980391984,1.0651945320715035,420000.0,1290000.0
Germany,2020-04-17,4352,8.378390788535778,4052.0,8.306965865368573,0.07142492316720528,300.0,248.0,1.2096774193548387,0.07142492316720528,1.209677419354837,1.0740375123395862,450000.0,1350000.0
Germany,2020-04-18,4459,8.402679804627477,4352.0,8.378390788535778,0.0242890160916982,107.0,300.0,0.3566666666666667,0.0242890160916982,0.3566666666666649,1.0245863970588236,460000.0,1400000.0
Germany,2020-04-19,4586,8.43076346341785,4459.0,8.402679804627477,0.02808365879037389,127.0,107.0,1.1869158878504673,0.02808365879037389,1.1869158878504655,1.0284817223592742,470000.0,1450000.0
Germany,2020-04-20,4862,8.48920515487607,4586.0,8.43076346341785,0.05844169145821887,276.0,127.0,2.173228346456693,0.05844169145821887,2.1732283464566913,1.0601831661578718,500000.0,1510000.0
Germany,2020-04-21,5033,8.52377150677636,4862.0,8.48920515487607,0.034566351900290115,171.0,276.0,0.6195652173913043,0.034566351900290115,0.6195652173913024,1.0351707116412987,520000.0,1590000.0
Germany,2020-04-22,5279,8.571491964823617,5033.0,8.52377150677636,0.047720458047257,246.0,171.0,1.4385964912280702,0.047720458047257,1.4385964912280684,1.048877409099941,540000.0,1660000.0
